headword,pos,definition,examples,synonyms
believably,adverb,in a believable manner [adv.all] | easy to believe on the basis of available evidence [adv.all],"he acted believably sincere | ""he acted believably sincere"" | he talked plausibly before the committee | he will probably win the election | ""he talked plausibly before the committee""","credibly, plausibly, probably"
believingly,adverb,in a credulous manner [adv.all],"the children followed the teacher credulously | ""the children followed the teacher credulously""",credulously
belike,adverb,with considerable certainty [adv.all],"He is probably out of the country | in all likelihood we are headed for war | without much doubt | ""He is probably out of the country"" | ""in all likelihood we are headed for war""","probably, likely, in all likelihood, in all probability"
belligerently,adverb,with hostility [adv.all],"he pushed her against the wall belligerently | in a belligerent hostile manner | ""he pushed her against the wall belligerently""",hostilely
below,adverb,in or to a place that is lower [adv.all] | at a later place [adv.all] | (in writing) see below [adv.all] | on a floor below [adv.all] | further down [adv.all],"see below | ""see below"" | vide infra | ""vide infra"" | the tenants live downstairs","at a lower place, to a lower place, beneath, infra, downstairs, down the stairs, on a lower floor, under"
below the belt,adverb,in an unfair manner [adv.all],"they dealt with him unfairly | their accusations hit below the belt | ""they dealt with him unfairly"" | ""their accusations hit below the belt""",unfairly
beneath,adverb,in or to a place that is lower [adv.all],,"below, at a lower place, to a lower place"
beneficially,adverb,in a beneficial manner [adv.all],"this medicine will act beneficially on you | ""this medicine will act beneficially on you""",
benevolently,adverb,in a benevolent manner [adv.all],"she looked on benevolently | ""she looked on benevolently""",
benignantly,adverb,in a benign manner [adv.all],"this drug is benignly soporific | ""this drug is benignly soporific""",benignly
benignly,adverb,in a benign manner [adv.all],"this drug is benignly soporific | ""this drug is benignly soporific""",benignantly
beseechingly,adverb,in a beseeching manner [adv.all],"`You must help me,' she said imploringly | ""`You must help me,' she said imploringly""","importunately, imploringly, pleadingly, entreatingly"
besides,adverb,making an additional point [adv.all] | in addition [adv.all],"I don't want to go to a restaurant; besides, we can't afford it | she couldn't shelter behind him all the time and in any case he wasn't always with her | anyway | ""I don't want to go to a restaurant | besides, we can't afford it""","in any case, too, also, likewise, as well"
best,adverb,in a most excellent way or manner [adv.all] | it would be sensible [adv.all] | from a position of superiority or authority [adv.all],"he played best after a couple of martinis | ""he played best after a couple of martinis"" | you'd best stay at home | ""you'd best stay at home"" | father knows best",better
best of all,adverb,especially fortunate [adv.all],"best of all, we don't have any homework! | ""best of all, we don't have any homework!""",
bestially,adverb,in an inhumane manner [adv.all],"she treated her husband bestially | ""she treated her husband bestially""","brutishly, in a beastly manner"
betimes,adverb,in good time [adv.all],"he awoke betimes that morning | ""he awoke betimes that morning""",early
better,adverb,comparative of `well' [adv.all] | from a position of superiority or authority [adv.all],"She had never sung better | a deed better left undone | better suited to the job | in a better or more excellent manner or more advantageously or attractively or to a greater degree etc. | ""She had never sung better""",best
between,adverb,in the interval [adv.all] | in between [adv.all],"dancing all the dances with little rest between | ""dancing all the dances with little rest between"" | two houses with a tree between | ""two houses with a tree between""","betwixt, 'tween"
between decks,adverb,"in the space between decks, on a ship [adv.all]",,'tween decks
betwixt,adverb,in the interval [adv.all],"dancing all the dances with little rest between | ""dancing all the dances with little rest between""",between
bewilderedly,adverb,in a bewildered manner [adv.all],,
bewilderingly,adverb,in a bewildering and confusing manner [adv.all],"her situation was bewilderingly unclear | ""her situation was bewilderingly unclear""",confusingly
bewitchingly,adverb,in a bewitching manner [adv.all],"she was bewitchingly beautiful | ""she was bewitchingly beautiful""","captivatingly, enchantingly, enthrallingly"
beyond,adverb,farther along in space or time or degree [adv.all] | on the farther side from the observer [adv.all] | in addition [adv.all],"through the valley and beyond | to the eighth grade but not beyond | will be influential in the 1990s and beyond | ""through the valley and beyond"" | ""to the eighth grade but not beyond""",
beyond a doubt,adverb,in a manner or to a degree that could not be doubted [adv.all],"it was immediately and indubitably apparent that I had interrupted a scene of lovers | his guilt was established beyond a shadow of a doubt | ""it was immediately and indubitably apparent that I had interrupted a scene of lovers"" | ""his guilt was established beyond a shadow of a doubt""","indubitably, beyond doubt, beyond a shadow of a doubt"
beyond a shadow of a doubt,adverb,in a manner or to a degree that could not be doubted [adv.all],"it was immediately and indubitably apparent that I had interrupted a scene of lovers | his guilt was established beyond a shadow of a doubt | ""it was immediately and indubitably apparent that I had interrupted a scene of lovers"" | ""his guilt was established beyond a shadow of a doubt""","indubitably, beyond doubt, beyond a doubt"
beyond control,adverb,out of control [adv.all],"the riots got out of hand | ""the riots got out of hand""",out of hand
beyond doubt,adverb,in a manner or to a degree that could not be doubted [adv.all],"it was immediately and indubitably apparent that I had interrupted a scene of lovers | his guilt was established beyond a shadow of a doubt | ""it was immediately and indubitably apparent that I had interrupted a scene of lovers"" | ""his guilt was established beyond a shadow of a doubt""","indubitably, beyond a doubt, beyond a shadow of a doubt"
beyond measure,adverb,in excess or without limit [adv.all],"amazed beyond measure | ""amazed beyond measure""",
biannually,adverb,twice a year [adv.all],"we hold our big sale biannually | ""we hold our big sale biannually""",
biennially,adverb,every two years [adv.all],"this festival takes places biennially | ""this festival takes places biennially""",biyearly
big,adverb,extremely well [adv.all] | in a boastful manner [adv.all] | on a grand scale [adv.all] | in a major way [adv.all],"his performance went over big | ""his performance went over big"" | he talked big all evening | ""he talked big all evening"" | think big","boastfully, vauntingly, large"
